,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,AB,2020,1,0,0,0,0,0,0,0,0
0,AB,2020,2,0,0,0,0,0,0,0,0
0,AB,2020,3,542,542,2,2,0,0,0,0
0,AB,2020,4,4017,3475,72,70,76,76,18,18
0,AB,2020,5,6979,2954,143,71,55,-21,4,-14
0,AB,2020,6,7888,909,154,11,37,-18,8,4
0,AB,2020,7,10843,2955,196,42,86,49,17,9
0,AB,2020,8,13476,2633,237,41,44,-42,7,-10
0,AB,2020,9,17343,3867,261,24,56,12,14,7
0,AB,2020,10,27664,10321,323,62,140,84,25,12
0,AB,2020,11,53105,25441,519,196,405,265,86,61
0,AB,2020,12,93781,40676,890,371,821,416,146,60
0,AB,2021,1,123364,29583,1620,730,594,-227,110,-36
0,AB,2021,2,132788,9424,1877,257,269,-325,55,-55
0,AB,2021,3,145028,12240,1979,102,284,15,59,4
0,AB,2021,4,190734,45706,2082,117,649,365,152,93
0,AB,2021,5,226449,35715,2206,124,517,-132,147,-5
0,AB,2021,6,231741,5292,2293,87,190,-327,50,-97
0,AB,2021,7,234295,2554,2328,35,90,-100,19,-31
0,AB,2021,8,248954,14659,2364,36,336,246,74,55
0,AB,2021,9,288357,39403,2622,258,1061,725,243,169
0,AB,2021,10,322989,34632,3093,471,765,-296,180,-63
0,AB,2021,11,334203,11214,3235,142,455,-310,90,-90
0,AB,2021,12,357623,23420,3310,75,349,-106,57,-33
0,AB,2022,1,487436,129813,3531,221,1496,1147,105,48
0,AB,2022,2,524381,36945,3898,367,1295,-201,88,-17
0,AB,2022,3,536166,12287,4044,154,956,-379,56,-35
0,AB,2022,4,565052,28886,4252,208,1220,264,47,-9
0,AB,2022,5,580881,15829,4507,255,1040,-180,31,-16
0,AB,2022,6,587890,7009,4604,97,661,-379,17,-14
0,AB,2022,7,594474,6584,4665,61,649,-12,26,9
0,AB,2022,8,601337,6863,4748,83,870,221,32,6
0,AB,2022,9,607289,5952,4905,157,980,110,39,7
0,AB,2022,10,612693,5404,5011,106,1118,138,28,-11
0,AB,2022,11,618030,5337,5177,166,1107,-11,40,12
0,AB,2022,12,622428,4398,5351,174,910,-197,33,-7
