,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,MB,2020,1,0,0,0,0,0,0,0,0
0,MB,2020,2,0,0,0,0,0,0,0,0
0,MB,2020,3,0,0,0,0,0,0,0,0
0,MB,2020,4,0,0,0,0,0,0,0,0
0,MB,2020,5,0,0,0,0,0,0,0,0
0,MB,2020,6,0,0,0,0,0,0,0,0
0,MB,2020,7,0,0,0,0,0,0,0,0
0,MB,2020,8,0,0,0,0,0,0,0,0
0,MB,2020,9,0,0,0,0,0,0,0,0
0,MB,2020,10,5374,3610,65,46,104,91,19,13
0,MB,2020,11,15632,10258,280,215,322,218,45,26
0,MB,2020,12,23624,7992,617,337,254,-68,35,-10
0,MB,2021,1,0,0,0,0,0,0,0,0
0,MB,2021,2,0,0,0,0,0,0,0,0
0,MB,2021,3,0,0,0,0,0,0,0,0
0,MB,2021,4,0,0,0,0,0,0,0,0
0,MB,2021,5,0,0,0,0,0,0,0,0
0,MB,2021,6,0,0,0,0,0,0,0,0
0,MB,2021,7,0,0,0,0,0,0,0,0
0,MB,2021,8,0,0,0,0,0,0,0,0
0,MB,2021,9,0,0,0,0,0,0,0,0
0,MB,2021,10,63353,3353,1246,39,60,26,20,10
0,MB,2021,11,67420,4067,1305,59,83,23,17,-3
0,MB,2021,12,80096,12676,1392,87,148,65,27,10
0,MB,2022,1,0,0,0,0,0,0,0,0
0,MB,2022,2,0,0,0,0,0,0,0,0
0,MB,2022,3,0,0,0,0,0,0,0,0
0,MB,2022,4,0,0,0,0,0,0,0,0
0,MB,2022,5,0,0,0,0,0,0,0,0
0,MB,2022,6,0,0,0,0,0,0,0,0
0,MB,2022,7,0,0,0,0,0,0,0,0
0,MB,2022,8,0,0,0,0,0,0,0,0
0,MB,2022,9,0,0,0,0,0,0,0,0
0,MB,2022,10,151319,1411,2211,51,100,27,16,5
0,MB,2022,11,152233,914,2256,45,82,-18,12,-4
0,MB,2022,12,153046,813,2256,0,50,-32,12,0
