,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NB,2020,1,0,0,0,0,0,0,0,0
0,NB,2020,2,0,0,0,0,0,0,0,0
0,NB,2020,3,45,45,0,0,0,0,0,0
0,NB,2020,4,118,73,0,0,4,4,1,1
0,NB,2020,5,128,10,0,0,2,-2,2,1
0,NB,2020,6,165,37,2,2,2,0,1,-1
0,NB,2020,7,170,5,2,0,0,-2,0,-1
0,NB,2020,8,191,21,2,0,0,0,0,0
0,NB,2020,9,200,9,2,0,0,0,0,0
0,NB,2020,10,342,142,6,4,4,4,0,0
0,NB,2020,11,477,135,7,1,1,-3,0,0
0,NB,2020,12,588,111,8,1,1,0,1,1
0,NB,2021,1,1218,630,17,9,4,3,2,1
0,NB,2021,2,1428,210,26,9,1,-3,1,-1
0,NB,2021,3,1559,131,30,4,4,3,0,-1
0,NB,2021,4,1915,356,36,6,4,0,2,2
0,NB,2021,5,2181,266,43,7,7,3,3,1
0,NB,2021,6,2323,142,45,2,4,-3,1,-2
0,NB,2021,7,2365,42,46,1,0,-4,0,-1
0,NB,2021,8,2721,356,46,0,3,3,0,0
0,NB,2021,9,3707,986,52,6,31,28,15,15
0,NB,2021,10,6380,2673,114,62,28,-3,17,2
0,NB,2021,11,8087,1707,123,9,56,28,18,1
0,NB,2021,12,14272,6185,160,37,45,-11,21,3
0,NB,2022,1,28045,13773,228,68,135,90,16,-5
0,NB,2022,2,36417,8372,301,73,72,-63,3,-13
0,NB,2022,3,45101,9075,336,36,129,61,16,15
0,NB,2022,4,60756,15655,384,48,87,-42,13,-3
0,NB,2022,5,65258,4502,416,32,27,-60,2,-11
0,NB,2022,6,67241,1983,422,6,25,-2,3,1
0,NB,2022,7,71479,4238,443,21,34,9,3,0
0,NB,2022,8,74440,2961,462,19,21,-13,1,-2
0,NB,2022,9,77460,3020,485,23,19,-2,2,1
0,NB,2022,10,80126,2666,585,100,33,14,1,-1
0,NB,2022,11,82223,2097,609,24,32,-1,6,5
0,NB,2022,12,84891,2668,635,26,31,-1,0,-6
