,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NL,2020,1,0,0,0,0,0,0,0,0
0,NL,2020,2,0,0,0,0,0,0,0,0
0,NL,2020,3,0,0,0,0,0,0,0,0
0,NL,2020,4,0,0,0,0,0,0,0,0
0,NL,2020,5,0,0,0,0,0,0,0,0
0,NL,2020,6,0,0,0,0,0,0,0,0
0,NL,2020,7,0,0,0,0,0,0,0,0
0,NL,2020,8,0,0,0,0,0,0,0,0
0,NL,2020,9,0,0,0,0,0,0,0,0
0,NL,2020,10,291,19,4,1,0,0,0,0
0,NL,2020,11,331,40,4,0,0,0,0,0
0,NL,2020,12,384,53,4,0,1,1,0,0
0,NL,2021,1,0,0,0,0,0,0,0,0
0,NL,2021,2,0,0,0,0,0,0,0,0
0,NL,2021,3,0,0,0,0,0,0,0,0
0,NL,2021,4,0,0,0,0,0,0,0,0
0,NL,2021,5,0,0,0,0,0,0,0,0
0,NL,2021,6,0,0,0,0,0,0,0,0
0,NL,2021,7,0,0,0,0,0,0,0,0
0,NL,2021,8,0,0,0,0,0,0,0,0
0,NL,2021,9,0,0,0,0,0,0,0,0
0,NL,2021,10,1992,338,16,9,1,-1,0,0
0,NL,2021,11,2048,56,18,2,1,0,0,0
0,NL,2021,12,4155,2107,19,1,1,0,0,0
0,NL,2022,1,0,0,0,0,0,0,0,0
0,NL,2022,2,0,0,0,0,0,0,0,0
0,NL,2022,3,0,0,0,0,0,0,0,0
0,NL,2022,4,0,0,0,0,0,0,0,0
0,NL,2022,5,0,0,0,0,0,0,0,0
0,NL,2022,6,0,0,0,0,0,0,0,0
0,NL,2022,7,0,0,0,0,0,0,0,0
0,NL,2022,8,0,0,0,0,0,0,0,0
0,NL,2022,9,0,0,0,0,0,0,0,0
0,NL,2022,10,52781,835,256,19,9,7,0,0
0,NL,2022,11,53485,704,273,17,17,8,5,5
0,NL,2022,12,54095,610,291,18,19,2,2,-3
