,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NS,2020,1,0,0,0,0,0,0,0,0
0,NS,2020,2,0,0,0,0,0,0,0,0
0,NS,2020,3,90,90,0,0,0,0,0,0
0,NS,2020,4,850,760,16,16,11,11,3,3
0,NS,2020,5,1055,205,59,43,8,-3,3,0
0,NS,2020,6,1061,6,63,4,2,-6,0,-3
0,NS,2020,7,1069,8,64,1,0,-2,0,0
0,NS,2020,8,1083,14,65,1,0,0,0,0
0,NS,2020,9,1087,4,65,0,0,0,1,1
0,NS,2020,10,1104,17,65,0,0,0,0,-1
0,NS,2020,11,1257,153,65,0,0,0,0,0
0,NS,2020,12,1465,208,65,0,0,0,0,0
0,NS,2021,1,1577,112,65,0,1,1,0,0
0,NS,2021,2,1634,57,65,0,1,0,1,1
0,NS,2021,3,1704,70,66,1,0,-1,0,-1
0,NS,2021,4,2427,723,67,1,22,22,5,5
0,NS,2021,5,5497,3070,80,13,53,31,18,13
0,NS,2021,6,5814,317,92,12,2,-51,0,-18
0,NS,2021,7,5887,73,93,1,1,-1,1,1
0,NS,2021,8,5999,112,94,1,0,-1,0,-1
0,NS,2021,9,6486,487,95,1,14,14,1,1
0,NS,2021,10,7354,868,100,5,10,-4,1,0
0,NS,2021,11,8169,815,108,8,14,4,5,4
0,NS,2021,12,17745,9576,111,3,34,20,4,-1
0,NS,2022,1,35870,18125,142,31,88,54,15,11
0,NS,2022,2,42975,7105,193,51,44,-44,11,-4
0,NS,2022,3,52235,9554,245,56,42,-3,13,4
0,NS,2022,4,76279,24044,314,69,91,49,6,-7
0,NS,2022,5,86909,10630,391,77,40,-51,8,2
0,NS,2022,6,93316,6407,438,47,37,-3,5,-3
0,NS,2022,7,101905,8589,468,30,60,23,6,1
0,NS,2022,8,108134,6229,492,24,34,-26,8,2
0,NS,2022,9,113447,5313,544,52,56,22,10,2
0,NS,2022,10,117658,4211,588,44,54,-2,7,-3
0,NS,2022,11,120188,2530,642,54,31,-23,4,-3
0,NS,2022,12,122340,2152,675,33,28,-3,6,2
