,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NT,2020,1,0,0,0,0,0,0,0,0
0,NT,2020,2,0,0,0,0,0,0,0,0
0,NT,2020,3,0,0,0,0,0,0,0,0
0,NT,2020,4,0,0,0,0,0,0,0,0
0,NT,2020,5,0,0,0,0,0,0,0,0
0,NT,2020,6,0,0,0,0,0,0,0,0
0,NT,2020,7,0,0,0,0,0,0,0,0
0,NT,2020,8,0,0,0,0,0,0,0,0
0,NT,2020,9,0,0,0,0,0,0,0,0
0,NT,2020,10,10,5,0,0,0,0,0,0
0,NT,2020,11,15,5,0,0,0,0,0,0
0,NT,2020,12,24,9,0,0,0,0,0,0
0,NT,2021,1,0,0,0,0,0,0,0,0
0,NT,2021,2,0,0,0,0,0,0,0,0
0,NT,2021,3,0,0,0,0,0,0,0,0
0,NT,2021,4,0,0,0,0,0,0,0,0
0,NT,2021,5,0,0,0,0,0,0,0,0
0,NT,2021,6,0,0,0,0,0,0,0,0
0,NT,2021,7,0,0,0,0,0,0,0,0
0,NT,2021,8,0,0,0,0,0,0,0,0
0,NT,2021,9,0,0,0,0,0,0,0,0
0,NT,2021,10,1863,945,11,9,0,0,0,0
0,NT,2021,11,2059,196,12,1,0,0,0,0
0,NT,2021,12,2229,170,12,0,0,0,0,0
0,NT,2022,1,0,0,0,0,0,0,0,0
0,NT,2022,2,0,0,0,0,0,0,0,0
0,NT,2022,3,0,0,0,0,0,0,0,0
0,NT,2022,4,0,0,0,0,0,0,0,0
0,NT,2022,5,0,0,0,0,0,0,0,0
0,NT,2022,6,0,0,0,0,0,0,0,0
0,NT,2022,7,0,0,0,0,0,0,0,0
0,NT,2022,8,0,0,0,0,0,0,0,0
0,NT,2022,9,0,0,0,0,0,0,0,0
0,NT,2022,10,11511,0,22,0,0,0,0,0
0,NT,2022,11,11511,0,22,0,0,0,0,0
0,NT,2022,12,11511,0,22,0,0,0,0,0
