,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,QC,2020,1,0,0,0,0,0,0,0,0
0,QC,2020,2,0,0,0,0,0,0,0,0
0,QC,2020,3,0,0,0,0,0,0,0,0
0,QC,2020,4,0,0,0,0,0,0,0,0
0,QC,2020,5,0,0,0,0,0,0,0,0
0,QC,2020,6,0,0,0,0,0,0,0,0
0,QC,2020,7,0,0,0,0,0,0,0,0
0,QC,2020,8,0,0,0,0,0,0,0,0
0,QC,2020,9,0,0,0,0,0,0,0,0
0,QC,2020,10,104952,34645,6231,417,515,316,81,48
0,QC,2020,11,138163,33211,6984,753,609,94,90,9
0,QC,2020,12,185872,47709,7913,929,1052,443,146,56
0,QC,2021,1,0,0,0,0,0,0,0,0
0,QC,2021,2,0,0,0,0,0,0,0,0
0,QC,2021,3,0,0,0,0,0,0,0,0
0,QC,2021,4,0,0,0,0,0,0,0,0
0,QC,2021,5,0,0,0,0,0,0,0,0
0,QC,2021,6,0,0,0,0,0,0,0,0
0,QC,2021,7,0,0,0,0,0,0,0,0
0,QC,2021,8,0,0,0,0,0,0,0,0
0,QC,2021,9,0,0,0,0,0,0,0,0
0,QC,2021,10,424802,18373,11491,142,250,-48,68,-23
0,QC,2021,11,444585,19783,11571,80,206,-44,43,-25
0,QC,2021,12,586607,142022,11711,140,939,733,138,95
0,QC,2022,1,0,0,0,0,0,0,0,0
0,QC,2022,2,0,0,0,0,0,0,0,0
0,QC,2022,3,0,0,0,0,0,0,0,0
0,QC,2022,4,0,0,0,0,0,0,0,0
0,QC,2022,5,0,0,0,0,0,0,0,0
0,QC,2022,6,0,0,0,0,0,0,0,0
0,QC,2022,7,0,0,0,0,0,0,0,0
0,QC,2022,8,0,0,0,0,0,0,0,0
0,QC,2022,9,0,0,0,0,0,0,0,0
0,QC,2022,10,1223930,25099,16904,233,1890,305,52,18
0,QC,2022,11,1246205,22275,17197,293,1716,-174,42,-10
0,QC,2022,12,1282260,36055,17570,373,2064,348,55,13
