,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,YT,2020,1,0,0,0,0,0,0,0,0
0,YT,2020,2,0,0,0,0,0,0,0,0
0,YT,2020,3,0,0,0,0,0,0,0,0
0,YT,2020,4,0,0,0,0,0,0,0,0
0,YT,2020,5,0,0,0,0,0,0,0,0
0,YT,2020,6,0,0,0,0,0,0,0,0
0,YT,2020,7,0,0,0,0,0,0,0,0
0,YT,2020,8,0,0,0,0,0,0,0,0
0,YT,2020,9,0,0,0,0,0,0,0,0
0,YT,2020,10,23,8,1,1,0,0,0,0
0,YT,2020,11,42,19,1,0,0,0,0,0
0,YT,2020,12,60,18,1,0,0,0,0,0
0,YT,2021,1,0,0,0,0,0,0,0,0
0,YT,2021,2,0,0,0,0,0,0,0,0
0,YT,2021,3,0,0,0,0,0,0,0,0
0,YT,2021,4,0,0,0,0,0,0,0,0
0,YT,2021,5,0,0,0,0,0,0,0,0
0,YT,2021,6,0,0,0,0,0,0,0,0
0,YT,2021,7,0,0,0,0,0,0,0,0
0,YT,2021,8,0,0,0,0,0,0,0,0
0,YT,2021,9,0,0,0,0,0,0,0,0
0,YT,2021,10,921,176,10,1,0,0,0,0
0,YT,2021,11,1475,554,13,3,0,0,0,0
0,YT,2021,12,1755,280,15,2,0,0,0,0
0,YT,2022,1,0,0,0,0,0,0,0,0
0,YT,2022,2,0,0,0,0,0,0,0,0
0,YT,2022,3,0,0,0,0,0,0,0,0
0,YT,2022,4,0,0,0,0,0,0,0,0
0,YT,2022,5,0,0,0,0,0,0,0,0
0,YT,2022,6,0,0,0,0,0,0,0,0
0,YT,2022,7,0,0,0,0,0,0,0,0
0,YT,2022,8,0,0,0,0,0,0,0,0
0,YT,2022,9,0,0,0,0,0,0,0,0
0,YT,2022,10,4954,49,32,1,0,0,0,0
0,YT,2022,11,4989,35,32,0,0,0,0,0
0,YT,2022,12,4989,0,32,0,0,0,0,0
