,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,AB,2020,1,0,0,0,0,0,0,0,0
0,AB,2020,2,0,0,0,0,0,0,0,0
0,AB,2020,3,0,0,0,0,0,0,0,0
0,AB,2020,4,0,0,0,0,0,0,0,0
0,AB,2020,5,0,0,0,0,0,0,0,0
0,AB,2020,6,0,0,0,0,0,0,0,0
0,AB,2020,7,0,0,0,0,0,0,0,0
0,AB,2020,8,0,0,0,0,0,0,0,0
0,AB,2020,9,0,0,0,0,0,0,0,0
0,AB,2020,10,27664,10321,323,62,140,84,25,12
0,AB,2020,11,53105,25441,519,196,405,265,86,61
0,AB,2020,12,93781,40676,890,371,821,416,146,60
0,AB,2021,1,0,0,0,0,0,0,0,0
0,AB,2021,2,0,0,0,0,0,0,0,0
0,AB,2021,3,0,0,0,0,0,0,0,0
0,AB,2021,4,0,0,0,0,0,0,0,0
0,AB,2021,5,0,0,0,0,0,0,0,0
0,AB,2021,6,0,0,0,0,0,0,0,0
0,AB,2021,7,0,0,0,0,0,0,0,0
0,AB,2021,8,0,0,0,0,0,0,0,0
0,AB,2021,9,0,0,0,0,0,0,0,0
0,AB,2021,10,322989,34632,3093,471,765,-296,180,-63
0,AB,2021,11,334203,11214,3235,142,455,-310,90,-90
0,AB,2021,12,357623,23420,3310,75,349,-106,57,-33
0,AB,2022,1,0,0,0,0,0,0,0,0
0,AB,2022,2,0,0,0,0,0,0,0,0
0,AB,2022,3,0,0,0,0,0,0,0,0
0,AB,2022,4,0,0,0,0,0,0,0,0
0,AB,2022,5,0,0,0,0,0,0,0,0
0,AB,2022,6,0,0,0,0,0,0,0,0
0,AB,2022,7,0,0,0,0,0,0,0,0
0,AB,2022,8,0,0,0,0,0,0,0,0
0,AB,2022,9,0,0,0,0,0,0,0,0
0,AB,2022,10,612693,5404,5011,106,1118,138,28,-11
0,AB,2022,11,618030,5337,5177,166,1107,-11,40,12
0,AB,2022,12,622428,4398,5351,174,910,-197,33,-7
