,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,BC,2020,1,0,0,0,0,0,0,0,0
0,BC,2020,2,0,0,0,0,0,0,0,0
0,BC,2020,3,0,0,0,0,0,0,0,0
0,BC,2020,4,0,0,0,0,0,0,0,0
0,BC,2020,5,0,0,0,0,0,0,0,0
0,BC,2020,6,0,0,0,0,0,0,0,0
0,BC,2020,7,0,0,0,0,0,0,0,0
0,BC,2020,8,0,0,0,0,0,0,0,0
0,BC,2020,9,0,0,0,0,0,0,0,0
0,BC,2020,10,14381,5740,263,33,78,16,25,6
0,BC,2020,11,30884,16503,395,132,301,223,69,44
0,BC,2020,12,48609,17725,808,413,341,40,78,9
0,BC,2021,1,0,0,0,0,0,0,0,0
0,BC,2021,2,0,0,0,0,0,0,0,0
0,BC,2021,3,0,0,0,0,0,0,0,0
0,BC,2021,4,0,0,0,0,0,0,0,0
0,BC,2021,5,0,0,0,0,0,0,0,0
0,BC,2021,6,0,0,0,0,0,0,0,0
0,BC,2021,7,0,0,0,0,0,0,0,0
0,BC,2021,8,0,0,0,0,0,0,0,0
0,BC,2021,9,0,0,0,0,0,0,0,0
0,BC,2021,10,204914,22373,2156,234,436,117,155,6
0,BC,2021,11,217099,12185,2322,166,291,-145,115,-40
0,BC,2021,12,254849,37750,2423,101,220,-71,73,-42
0,BC,2022,1,0,0,0,0,0,0,0,0
0,BC,2022,2,0,0,0,0,0,0,0,0
0,BC,2022,3,0,0,0,0,0,0,0,0
0,BC,2022,4,0,0,0,0,0,0,0,0
0,BC,2022,5,0,0,0,0,0,0,0,0
0,BC,2022,6,0,0,0,0,0,0,0,0
0,BC,2022,7,0,0,0,0,0,0,0,0
0,BC,2022,8,0,0,0,0,0,0,0,0
0,BC,2022,9,0,0,0,0,0,0,0,0
0,BC,2022,10,387451,2551,4485,202,292,-75,20,-10
0,BC,2022,11,389479,2028,4642,157,328,36,37,17
0,BC,2022,12,391897,2418,4806,164,349,21,35,-2
