,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,CA,2020,1,0,0,0,0,0,0,0,0
0,CA,2020,2,0,0,0,0,0,0,0,0
0,CA,2020,3,0,0,0,0,0,0,0,0
0,CA,2020,4,0,0,0,0,0,0,0,0
0,CA,2020,5,0,0,0,0,0,0,0,0
0,CA,2020,6,0,0,0,0,0,0,0,0
0,CA,2020,7,0,0,0,0,0,0,0,0
0,CA,2020,8,0,0,0,0,0,0,0,0
0,CA,2020,9,0,0,0,0,0,0,0,0
0,CA,2020,10,231999,81543,10110,855,1177,752,231,134
0,CA,2020,11,359055,127056,11894,1784,2291,1010,457,226
0,CA,2020,12,534144,175092,14719,2825,3602,1311,704,247
0,CA,2021,1,0,0,0,0,0,0,0,0
0,CA,2021,2,0,0,0,0,0,0,0,0
0,CA,2021,3,0,0,0,0,0,0,0,0
0,CA,2021,4,0,0,0,0,0,0,0,0
0,CA,2021,5,0,0,0,0,0,0,0,0
0,CA,2021,6,0,0,0,0,0,0,0,0
0,CA,2021,7,0,0,0,0,0,0,0,0
0,CA,2021,8,0,0,0,0,0,0,0,0
0,CA,2021,9,0,0,0,0,0,0,0,0
0,CA,2021,10,1712136,113293,28952,1332,1999,-344,625,-138
0,CA,2021,11,1782171,70035,29618,666,1517,-482,469,-156
0,CA,2021,12,2163062,380891,30306,688,2962,1445,537,68
0,CA,2022,1,0,0,0,0,0,0,0,0
0,CA,2022,2,0,0,0,0,0,0,0,0
0,CA,2022,3,0,0,0,0,0,0,0,0
0,CA,2022,4,0,0,0,0,0,0,0,0
0,CA,2022,5,0,0,0,0,0,0,0,0
0,CA,2022,6,0,0,0,0,0,0,0,0
0,CA,2022,7,0,0,0,0,0,0,0,0
0,CA,2022,8,0,0,0,0,0,0,0,0
0,CA,2022,9,0,0,0,0,0,0,0,0
0,CA,2022,10,4330713,85587,46424,1179,5617,672,281,-17
0,CA,2022,11,4399110,68397,47746,1322,4647,-970,291,10
0,CA,2022,12,4470701,71591,48864,1118,4775,128,267,-24
