,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NB,2020,1,0,0,0,0,0,0,0,0
0,NB,2020,2,0,0,0,0,0,0,0,0
0,NB,2020,3,0,0,0,0,0,0,0,0
0,NB,2020,4,0,0,0,0,0,0,0,0
0,NB,2020,5,0,0,0,0,0,0,0,0
0,NB,2020,6,0,0,0,0,0,0,0,0
0,NB,2020,7,0,0,0,0,0,0,0,0
0,NB,2020,8,0,0,0,0,0,0,0,0
0,NB,2020,9,0,0,0,0,0,0,0,0
0,NB,2020,10,342,142,6,4,4,4,0,0
0,NB,2020,11,477,135,7,1,1,-3,0,0
0,NB,2020,12,588,111,8,1,1,0,1,1
0,NB,2021,1,0,0,0,0,0,0,0,0
0,NB,2021,2,0,0,0,0,0,0,0,0
0,NB,2021,3,0,0,0,0,0,0,0,0
0,NB,2021,4,0,0,0,0,0,0,0,0
0,NB,2021,5,0,0,0,0,0,0,0,0
0,NB,2021,6,0,0,0,0,0,0,0,0
0,NB,2021,7,0,0,0,0,0,0,0,0
0,NB,2021,8,0,0,0,0,0,0,0,0
0,NB,2021,9,0,0,0,0,0,0,0,0
0,NB,2021,10,6380,2673,114,62,28,-3,17,2
0,NB,2021,11,8087,1707,123,9,56,28,18,1
0,NB,2021,12,14272,6185,160,37,45,-11,21,3
0,NB,2022,1,0,0,0,0,0,0,0,0
0,NB,2022,2,0,0,0,0,0,0,0,0
0,NB,2022,3,0,0,0,0,0,0,0,0
0,NB,2022,4,0,0,0,0,0,0,0,0
0,NB,2022,5,0,0,0,0,0,0,0,0
0,NB,2022,6,0,0,0,0,0,0,0,0
0,NB,2022,7,0,0,0,0,0,0,0,0
0,NB,2022,8,0,0,0,0,0,0,0,0
0,NB,2022,9,0,0,0,0,0,0,0,0
0,NB,2022,10,80126,2666,585,100,33,14,1,-1
0,NB,2022,11,82223,2097,609,24,32,-1,6,5
0,NB,2022,12,84891,2668,635,26,31,-1,0,-6
