,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NL,2020,1,0,0,0,0,0,0,0,0
0,NL,2020,2,0,0,0,0,0,0,0,0
0,NL,2020,3,102,102,0,0,0,0,0,0
0,NL,2020,4,256,154,3,3,5,5,0,0
0,NL,2020,5,261,5,3,0,1,-4,0,0
0,NL,2020,6,261,0,3,0,0,-1,0,0
0,NL,2020,7,266,5,3,0,0,0,0,0
0,NL,2020,8,269,3,3,0,0,0,0,0
0,NL,2020,9,272,3,3,0,0,0,0,0
0,NL,2020,10,291,19,4,1,0,0,0,0
0,NL,2020,11,331,40,4,0,0,0,0,0
0,NL,2020,12,384,53,4,0,1,1,0,0
0,NL,2021,1,408,24,4,0,1,0,0,0
0,NL,2021,2,977,569,5,1,11,10,0,0
0,NL,2021,3,1015,38,6,1,0,-11,0,0
0,NL,2021,4,1076,61,6,0,2,2,0,0
0,NL,2021,5,1293,217,6,0,5,3,0,0
0,NL,2021,6,1384,91,7,1,1,-4,0,0
0,NL,2021,7,1437,53,7,0,2,1,0,0
0,NL,2021,8,1469,32,7,0,0,-2,0,0
0,NL,2021,9,1654,185,7,0,2,2,0,0
0,NL,2021,10,1992,338,16,9,1,-1,0,0
0,NL,2021,11,2048,56,18,2,1,0,0,0
0,NL,2021,12,4155,2107,19,1,1,0,0,0
0,NL,2022,1,16758,12603,38,19,20,19,0,0
0,NL,2022,2,23147,6389,64,26,20,0,0,0
0,NL,2022,3,36254,14054,101,37,33,14,6,6
0,NL,2022,4,44536,8282,164,63,16,-17,4,-2
0,NL,2022,5,46031,1495,182,18,13,-3,2,-2
0,NL,2022,6,47556,1525,192,10,11,-2,3,1
0,NL,2022,7,49998,2442,205,13,14,3,3,0
0,NL,2022,8,51074,1076,225,20,14,0,1,-2
0,NL,2022,9,51946,872,237,12,2,-12,0,-1
0,NL,2022,10,52781,835,256,19,9,7,0,0
0,NL,2022,11,53485,704,273,17,17,8,5,5
0,NL,2022,12,54095,610,291,18,19,2,2,-3
