,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NS,2020,1,0,0,0,0,0,0,0,0
0,NS,2020,2,0,0,0,0,0,0,0,0
0,NS,2020,3,0,0,0,0,0,0,0,0
0,NS,2020,4,0,0,0,0,0,0,0,0
0,NS,2020,5,0,0,0,0,0,0,0,0
0,NS,2020,6,0,0,0,0,0,0,0,0
0,NS,2020,7,0,0,0,0,0,0,0,0
0,NS,2020,8,0,0,0,0,0,0,0,0
0,NS,2020,9,0,0,0,0,0,0,0,0
0,NS,2020,10,1104,17,65,0,0,0,0,-1
0,NS,2020,11,1257,153,65,0,0,0,0,0
0,NS,2020,12,1465,208,65,0,0,0,0,0
0,NS,2021,1,0,0,0,0,0,0,0,0
0,NS,2021,2,0,0,0,0,0,0,0,0
0,NS,2021,3,0,0,0,0,0,0,0,0
0,NS,2021,4,0,0,0,0,0,0,0,0
0,NS,2021,5,0,0,0,0,0,0,0,0
0,NS,2021,6,0,0,0,0,0,0,0,0
0,NS,2021,7,0,0,0,0,0,0,0,0
0,NS,2021,8,0,0,0,0,0,0,0,0
0,NS,2021,9,0,0,0,0,0,0,0,0
0,NS,2021,10,7354,868,100,5,10,-4,1,0
0,NS,2021,11,8169,815,108,8,14,4,5,4
0,NS,2021,12,17745,9576,111,3,34,20,4,-1
0,NS,2022,1,0,0,0,0,0,0,0,0
0,NS,2022,2,0,0,0,0,0,0,0,0
0,NS,2022,3,0,0,0,0,0,0,0,0
0,NS,2022,4,0,0,0,0,0,0,0,0
0,NS,2022,5,0,0,0,0,0,0,0,0
0,NS,2022,6,0,0,0,0,0,0,0,0
0,NS,2022,7,0,0,0,0,0,0,0,0
0,NS,2022,8,0,0,0,0,0,0,0,0
0,NS,2022,9,0,0,0,0,0,0,0,0
0,NS,2022,10,117658,4211,588,44,54,-2,7,-3
0,NS,2022,11,120188,2530,642,54,31,-23,4,-3
0,NS,2022,12,122340,2152,675,33,28,-3,6,2
