,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NT,2020,1,0,0,0,0,0,0,0,0
0,NT,2020,2,0,0,0,0,0,0,0,0
0,NT,2020,3,1,1,0,0,0,0,0,0
0,NT,2020,4,5,4,0,0,0,0,0,0
0,NT,2020,5,5,0,0,0,0,0,0,0
0,NT,2020,6,5,0,0,0,0,0,0,0
0,NT,2020,7,5,0,0,0,0,0,0,0
0,NT,2020,8,5,0,0,0,0,0,0,0
0,NT,2020,9,5,0,0,0,0,0,0,0
0,NT,2020,10,10,5,0,0,0,0,0,0
0,NT,2020,11,15,5,0,0,0,0,0,0
0,NT,2020,12,24,9,0,0,0,0,0,0
0,NT,2021,1,35,11,0,0,0,0,0,0
0,NT,2021,2,47,12,0,0,0,0,0,0
0,NT,2021,3,47,0,0,0,0,0,0,0
0,NT,2021,4,57,10,0,0,0,0,0,0
0,NT,2021,5,127,70,0,0,0,0,0,0
0,NT,2021,6,128,1,0,0,0,0,0,0
0,NT,2021,7,128,0,0,0,0,0,0,0
0,NT,2021,8,395,267,1,1,0,0,0,0
0,NT,2021,9,918,523,2,1,0,0,0,0
0,NT,2021,10,1863,945,11,9,0,0,0,0
0,NT,2021,11,2059,196,12,1,0,0,0,0
0,NT,2021,12,2229,170,12,0,0,0,0,0
0,NT,2022,1,5614,3385,15,3,0,0,0,0
0,NT,2022,2,8682,3068,19,4,0,0,0,0
0,NT,2022,3,10333,1693,21,2,0,0,0,0
0,NT,2022,4,11286,953,22,1,0,0,0,0
0,NT,2022,5,11436,150,22,0,0,0,0,0
0,NT,2022,6,11511,75,22,0,0,0,0,0
0,NT,2022,7,11511,0,22,0,0,0,0,0
0,NT,2022,8,11511,0,22,0,0,0,0,0
0,NT,2022,9,11511,0,22,0,0,0,0,0
0,NT,2022,10,11511,0,22,0,0,0,0,0
0,NT,2022,11,11511,0,22,0,0,0,0,0
0,NT,2022,12,11511,0,22,0,0,0,0,0
