,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,NU,2020,1,0,0,0,0,0,0,0,0
0,NU,2020,2,0,0,0,0,0,0,0,0
0,NU,2020,3,0,0,0,0,0,0,0,0
0,NU,2020,4,0,0,0,0,0,0,0,0
0,NU,2020,5,0,0,0,0,0,0,0,0
0,NU,2020,6,0,0,0,0,0,0,0,0
0,NU,2020,7,0,0,0,0,0,0,0,0
0,NU,2020,8,0,0,0,0,0,0,0,0
0,NU,2020,9,0,0,0,0,0,0,0,0
0,NU,2020,10,0,0,0,0,0,0,0,0
0,NU,2020,11,159,159,0,0,0,0,0,0
0,NU,2020,12,265,106,1,1,0,0,0,0
0,NU,2021,1,0,0,0,0,0,0,0,0
0,NU,2021,2,0,0,0,0,0,0,0,0
0,NU,2021,3,0,0,0,0,0,0,0,0
0,NU,2021,4,0,0,0,0,0,0,0,0
0,NU,2021,5,0,0,0,0,0,0,0,0
0,NU,2021,6,0,0,0,0,0,0,0,0
0,NU,2021,7,0,0,0,0,0,0,0,0
0,NU,2021,8,0,0,0,0,0,0,0,0
0,NU,2021,9,0,0,0,0,0,0,0,0
0,NU,2021,10,674,11,4,0,0,0,0,0
0,NU,2021,11,674,0,4,0,0,0,0,0
0,NU,2021,12,803,129,4,0,0,0,0,0
0,NU,2022,1,0,0,0,0,0,0,0,0
0,NU,2022,2,0,0,0,0,0,0,0,0
0,NU,2022,3,0,0,0,0,0,0,0,0
0,NU,2022,4,0,0,0,0,0,0,0,0
0,NU,2022,5,0,0,0,0,0,0,0,0
0,NU,2022,6,0,0,0,0,0,0,0,0
0,NU,2022,7,0,0,0,0,0,0,0,0
0,NU,2022,8,0,0,0,0,0,0,0,0
0,NU,2022,9,0,0,0,0,0,0,0,0
0,NU,2022,10,3531,0,8,0,0,0,0,0
0,NU,2022,11,3531,0,8,0,0,0,0,0
0,NU,2022,12,3531,0,8,0,0,0,0,0
