,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,ON,2020,1,0,0,0,0,0,0,0,0
0,ON,2020,2,0,0,0,0,0,0,0,0
0,ON,2020,3,0,0,0,0,0,0,0,0
0,ON,2020,4,0,0,0,0,0,0,0,0
0,ON,2020,5,0,0,0,0,0,0,0,0
0,ON,2020,6,0,0,0,0,0,0,0,0
0,ON,2020,7,0,0,0,0,0,0,0,0
0,ON,2020,8,0,0,0,0,0,0,0,0
0,ON,2020,9,0,0,0,0,0,0,0,0
0,ON,2020,10,74715,25810,3127,290,314,227,75,50
0,ON,2020,11,111216,36501,3595,468,542,228,151,76
0,ON,2020,12,165110,53894,4278,683,967,425,277,126
0,ON,2021,1,0,0,0,0,0,0,0,0
0,ON,2021,2,0,0,0,0,0,0,0,0
0,ON,2021,3,0,0,0,0,0,0,0,0
0,ON,2021,4,0,0,0,0,0,0,0,0
0,ON,2021,5,0,0,0,0,0,0,0,0
0,ON,2021,6,0,0,0,0,0,0,0,0
0,ON,2021,7,0,0,0,0,0,0,0,0
0,ON,2021,8,0,0,0,0,0,0,0,0
0,ON,2021,9,0,0,0,0,0,0,0,0
0,ON,2021,10,599259,16624,9865,177,211,-97,130,-63
0,ON,2021,11,615197,15938,9991,126,268,57,140,10
0,ON,2021,12,756361,141164,10194,203,1144,876,205,65
0,ON,2022,1,0,0,0,0,0,0,0,0
0,ON,2022,2,0,0,0,0,0,0,0,0
0,ON,2022,3,0,0,0,0,0,0,0,0
0,ON,2022,4,0,0,0,0,0,0,0,0
0,ON,2022,5,0,0,0,0,0,0,0,0
0,ON,2022,6,0,0,0,0,0,0,0,0
0,ON,2022,7,0,0,0,0,0,0,0,0
0,ON,2022,8,0,0,0,0,0,0,0,0
0,ON,2022,9,0,0,0,0,0,0,0,0
0,ON,2022,10,1484249,38222,14683,351,1921,656,148,15
0,ON,2022,11,1514586,30337,15162,479,1166,-755,130,-18
0,ON,2022,12,1536865,22279,15471,309,1209,43,119,-11
