,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,QC,2020,1,0,0,0,0,0,0,0,0
0,QC,2020,2,1,1,0,0,0,0,0,0
0,QC,2020,3,2021,2020,18,18,0,0,0,0
0,QC,2020,4,22616,20595,1340,1322,1460,1460,227,227
0,QC,2020,5,50232,27616,4363,3023,1265,-195,172,-55
0,QC,2020,6,55079,4847,5448,1085,487,-778,50,-122
0,QC,2020,7,59132,4053,5674,226,189,-298,15,-35
0,QC,2020,8,62124,2992,5750,76,117,-72,17,2
0,QC,2020,9,70307,8183,5814,64,199,82,33,16
0,QC,2020,10,104952,34645,6231,417,515,316,81,48
0,QC,2020,11,138163,33211,6984,753,609,94,90,9
0,QC,2020,12,185872,47709,7913,929,1052,443,146,56
0,QC,2021,1,259993,74121,9717,1804,1217,165,290,144
0,QC,2021,2,286145,26152,10372,655,620,-597,119,-171
0,QC,2021,3,306385,20240,10637,265,481,-139,115,-4
0,QC,2021,4,349773,43388,10926,289,592,111,164,49
0,QC,2021,5,369318,19545,11118,192,385,-207,91,-73
0,QC,2021,6,374406,5088,11202,84,135,-250,40,-51
0,QC,2021,7,377297,2891,11241,39,60,-75,17,-23
0,QC,2021,8,387230,9933,11285,44,126,66,36,19
0,QC,2021,9,406429,19199,11349,64,298,172,91,55
0,QC,2021,10,424802,18373,11491,142,250,-48,68,-23
0,QC,2021,11,444585,19783,11571,80,206,-44,43,-25
0,QC,2021,12,586607,142022,11711,140,939,733,138,95
0,QC,2022,1,853120,266513,13113,1402,3091,2152,228,90
0,QC,2022,2,918821,65701,13955,842,1532,-1559,105,-123
0,QC,2022,3,953498,37288,14300,385,1048,-552,59,-48
0,QC,2022,4,1041075,87577,14977,677,2290,1242,81,22
0,QC,2022,5,1064331,23256,15400,423,1288,-1002,36,-45
0,QC,2022,6,1081135,16804,15488,88,1051,-237,33,-3
0,QC,2022,7,1142427,61292,15842,354,2156,1105,65,32
0,QC,2022,8,1172597,30170,16195,353,1945,-211,41,-24
0,QC,2022,9,1198831,26234,16671,476,1585,-360,34,-7
0,QC,2022,10,1223930,25099,16904,233,1890,305,52,18
0,QC,2022,11,1246205,22275,17197,293,1716,-174,42,-10
0,QC,2022,12,1282260,36055,17570,373,2064,348,55,13
