,Province,Year,Month,TotalCases,MonthlyCases,TotalDeaths,MonthlyDeaths,TotalHospitalized,MonthlyHospitalized,TotalICU,MonthlyICU
0,SK,2020,1,0,0,0,0,0,0,0,0
0,SK,2020,2,0,0,0,0,0,0,0,0
0,SK,2020,3,0,0,0,0,0,0,0,0
0,SK,2020,4,0,0,0,0,0,0,0,0
0,SK,2020,5,0,0,0,0,0,0,0,0
0,SK,2020,6,0,0,0,0,0,0,0,0
0,SK,2020,7,0,0,0,0,0,0,0,0
0,SK,2020,8,0,0,0,0,0,0,0,0
0,SK,2020,9,0,0,0,0,0,0,0,0
0,SK,2020,10,3066,1220,25,1,22,14,6,6
0,SK,2020,11,7691,4625,44,19,111,89,16,10
0,SK,2020,12,14255,6564,134,90,165,54,21,5
0,SK,2021,1,0,0,0,0,0,0,0,0
0,SK,2021,2,0,0,0,0,0,0,0,0
0,SK,2021,3,0,0,0,0,0,0,0,0
0,SK,2021,4,0,0,0,0,0,0,0,0
0,SK,2021,5,0,0,0,0,0,0,0,0
0,SK,2021,6,0,0,0,0,0,0,0,0
0,SK,2021,7,0,0,0,0,0,0,0,0
0,SK,2021,8,0,0,0,0,0,0,0,0
0,SK,2021,9,0,0,0,0,0,0,0,0
0,SK,2021,10,77305,12903,846,183,238,-38,54,-7
0,SK,2021,11,80775,3470,916,70,143,-95,41,-13
0,SK,2021,12,85188,4413,955,39,79,-64,12,-29
0,SK,2022,1,0,0,0,0,0,0,0,0
0,SK,2022,2,0,0,0,0,0,0,0,0
0,SK,2022,3,0,0,0,0,0,0,0,0
0,SK,2022,4,0,0,0,0,0,0,0,0
0,SK,2022,5,0,0,0,0,0,0,0,0
0,SK,2022,6,0,0,0,0,0,0,0,0
0,SK,2022,7,0,0,0,0,0,0,0,0
0,SK,2022,8,0,0,0,0,0,0,0,0
0,SK,2022,9,0,0,0,0,0,0,0,0
0,SK,2022,10,147102,3141,1572,65,187,-407,8,-30
0,SK,2022,11,149902,2800,1650,78,164,-23,15,7
0,SK,2022,12,149038,-864,1665,15,105,-59,4,-11
