,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
50,AB,0,0,0,0,0,0,0,0,2020,01,31
64,AB,0,0,0,0,0,0,0,0,2020,02,07
78,AB,0,0,0,0,0,0,0,0,2020,02,14
92,AB,0,0,0,0,0,0,0,0,2020,02,21
156,AB,0,0,0,0,0,0,0,0,2020,02,28
179,AB,2,2,0,0,0,0,0,0,2020,03,06
207,AB,29,27,0,0,0,0,0,0,2020,03,13
259,AB,195,166,1,1,0,0,0,0,2020,03,20
296,AB,542,347,2,1,0,0,0,0,2020,03,27
322,AB,1075,533,18,16,0,0,0,0,2020,04,03
336,AB,1500,425,39,21,101,101,33,33,2020,04,10
170,AB,2397,897,50,11,60,-41,13,-20,2020,04,17
198,AB,4017,1620,72,22,76,16,18,5,2020,04,24
220,AB,5573,1548,92,20,86,10,22,4,2020,05,01
234,AB,6098,525,115,23,80,-6,17,-5,2020,05,08
110,AB,6515,417,125,10,62,-18,9,-8,2020,05,15
124,AB,6800,285,134,9,54,-8,6,-3,2020,05,22
138,AB,6979,179,143,9,55,1,4,-2,2020,05,29
242,AB,7098,119,146,3,44,-11,6,2,2020,06,05
266,AB,7346,248,149,3,53,9,6,0,2020,06,12
289,AB,7625,279,152,3,39,-14,6,0,2020,06,19
317,AB,7888,263,154,2,37,-2,8,2,2020,06,26
8,AB,8259,371,155,1,42,5,9,1,2020,07,03
22,AB,8596,337,160,5,50,8,9,0,2020,07,10
36,AB,9219,623,167,7,68,18,13,4,2020,07,17
346,AB,10086,867,181,14,83,15,18,5,2020,07,24
364,AB,10843,757,196,15,86,3,17,-1,2020,07,31
378,AB,11430,587,208,12,68,-18,18,1,2020,08,07
392,AB,12053,623,221,13,48,-20,13,-5,2020,08,14
416,AB,12748,695,230,9,43,-5,9,-4,2020,08,21
438,AB,13476,728,237,7,44,1,7,-2,2020,08,28
452,AB,14474,998,242,5,47,3,9,2,2020,09,04
466,AB,15415,941,253,11,41,-6,6,-3,2020,09,11
512,AB,16381,966,255,2,44,3,7,1,2020,09,18
610,AB,17343,962,261,6,56,12,14,7,2020,09,25
658,AB,18357,1014,272,11,64,8,15,1,2020,10,02
482,AB,19995,1638,282,10,86,22,11,-4,2020,10,09
535,AB,21775,1780,288,6,117,31,11,1,2020,10,16
549,AB,24261,2486,300,12,112,-5,14,3,2020,10,23
563,AB,27664,3403,323,23,140,28,25,11,2020,10,30
760,AB,31858,4194,352,29,171,31,33,8,2020,11,06
774,AB,37312,5454,398,46,240,69,54,21,2020,11,13
788,AB,43952,6640,462,64,310,70,58,4,2020,11,20
402,AB,53105,9153,519,57,405,95,86,28,2020,11,27
475,AB,64851,11746,590,71,533,128,99,13,2020,12,04
